address_full,number,street,city,state,zip,longitude,latitude,statefp,countyfp,tractce,blkgrpce,median_cleaning_price,median_household_income_17-21,seniorcare_median_price,median_line_price,petcare_median_price,spclneeds_median_price,single_child_living_wage,single_nochild_living_wage,couple_child_living_wage,seniorcare_median_hours,spclneeds_median_hours
"17177 FENTON DETROIT, MI 48219 ",17177,FENTON,DETROIT,MI,48219,-83.282615,42.415507,26,163,541300,1,27.87,53125.0,23.0,28.9,18.0,20.0,37.22,20.42,20.89,30.0,22.75
"11404 BRAMELL DETROIT, MI 48239 ",11404,BRAMELL,DETROIT,MI,48239,-83.262891,42.370694,26,163,546301,1,28.9,50250.0,22.5,29.93,17.5,19.0,37.22,20.42,20.89,30.0,20.5
"875 MARLBOROUGH DETROIT, MI 48215 ",875,MARLBOROUGH,DETROIT,MI,48215,-82.943046,42.37226,26,163,513200,2,33.03,29107.0,21.5,28.39,17.5,20.0,37.22,20.42,20.89,30.0,25.0
"7217 ST PAUL DETROIT, MI 48214 ",7217,ST PAUL,DETROIT,MI,48214,-83.005856,42.354167,26,163,515300,1,30.97,45972.0,22.5,30.97,17.5,20.0,37.22,20.42,20.89,30.0,25.0
"460 W CANFIELD 31 DETROIT, MI 48201 ",460,W CANFIELD 31,DETROIT,MI,48201,-83.065538,42.351921,26,163,520300,2,30.97,78791.0,22.5,30.97,17.5,20.0,37.22,20.42,20.89,30.0,24.5
"5896 ST CLAIR DETROIT, MI 48213 ",5896,ST CLAIR,DETROIT,MI,48213,-82.998512,42.39315,26,163,505700,5,30.97,35186.0,22.75,29.42,17.5,20.0,37.22,20.42,20.89,30.0,27.5
"425 W SAVANNAH DETROIT, MI 48203 ",425,W SAVANNAH,DETROIT,MI,48203,-83.107587,42.425101,26,163,509000,3,30.97,27941.0,23.75,28.38,17.0,19.75,37.22,20.42,20.89,29.5,22.5
"1228 NEWPORT DETROIT, MI 48215 ",1228,NEWPORT,DETROIT,MI,48215,-82.947943,42.375144,26,163,512800,1,33.03,24886.0,21.5,28.39,17.5,20.0,37.22,20.42,20.89,30.0,25.0
"10231 MENDOTA DETROIT, MI 48204 ",10231,MENDOTA,DETROIT,MI,48204,-83.164779,42.370127,26,163,534400,1,29.94,19245.0,22.5,29.93,17.5,20.0,37.22,20.42,20.89,29.25,22.5
"4616 CHALMERS DETROIT, MI 48215 ",4616,CHALMERS,DETROIT,MI,48215,-82.956573,42.392534,26,163,502700,1,35.1,23333.0,21.5,30.97,17.5,20.0,37.22,20.42,20.89,30.0,25.0
"20153 RUSSELL DETROIT, MI 48203 ",20153,RUSSELL,DETROIT,MI,48203,-83.091332,42.443146,26,163,507500,1,29.94,16711.0,23.75,27.87,17.0,19.75,37.22,20.42,20.89,29.5,22.5
"15778 WISCONSIN DETROIT, MI 48238 ",15778,WISCONSIN,DETROIT,MI,48238,-83.156374,42.407437,26,163,536300,1,30.45,30738.0,23.0,28.9,17.5,20.0,37.22,20.42,20.89,29.25,22.5
"16249 HUBBELL DETROIT, MI 48235 ",16249,HUBBELL,DETROIT,MI,48235,-83.189658,42.411218,26,163,537600,1,29.94,27917.0,24.0,28.9,18.0,20.0,37.22,20.42,20.89,28.0,22.5
"19185 BELAND DETROIT, MI 48234 ",19185,BELAND,DETROIT,MI,48234,-83.009329,42.435616,26,163,505600,1,30.45,30833.0,24.0,28.9,17.5,20.5,37.22,20.42,20.89,30.0,27.5
"20310 W GRAND RIVER DETROIT, MI 48219 ",20310,W GRAND RIVER,DETROIT,MI,48219,-83.240979,42.410118,26,163,543200,1,28.9,57292.0,23.0,28.38,18.0,20.0,37.22,20.42,20.89,30.0,22.75
"19921 WARRINGTON DETROIT, MI 48221 ",19921,WARRINGTON,DETROIT,MI,48221,-83.140979,42.439329,26,163,538100,1,28.9,73972.0,23.0,27.35,17.5,20.0,37.22,20.42,20.89,28.0,22.5
"19520 W GRAND RIVER DETROIT, MI 48223 ",19520,W GRAND RIVER,DETROIT,MI,48223,-83.234145,42.407394,26,163,543000,2,28.9,60990.0,22.5,27.87,17.75,20.0,37.22,20.42,20.89,30.0,22.75
"2257 E KIRBY DETROIT, MI 48211 ",2257,E KIRBY,DETROIT,MI,48211,-83.044042,42.368752,26,163,519100,2,30.97,,23.5,30.97,17.5,20.0,37.22,20.42,20.89,30.0,24.0
"19190 WESTBROOK DETROIT, MI 48219 ",19190,WESTBROOK,DETROIT,MI,48219,-83.251953,42.430695,26,163,541000,3,29.94,53189.0,23.0,28.9,18.0,20.0,37.22,20.42,20.89,30.0,22.75
"17331 ROSELAWN DETROIT, MI 48221 ",17331,ROSELAWN,DETROIT,MI,48221,-83.152791,42.419332,26,163,538500,1,30.97,21995.0,23.0,28.9,17.5,20.0,37.22,20.42,20.89,28.0,22.5
"20103 SANTA ROSA DETROIT, MI 48221 ",20103,SANTA ROSA,DETROIT,MI,48221,-83.144284,42.441431,26,163,539000,2,28.9,27004.0,23.0,26.84,17.5,20.0,37.22,20.42,20.89,28.0,22.5
"734 25TH ST DETROIT, MI 48216 ",734,25TH ST,DETROIT,MI,48216,-83.082427,42.316335,26,163,521100,2,30.97,27500.0,22.5,26.32,17.5,20.0,37.22,20.42,20.89,30.0,23.0
"5633 TROWBRIDGE HAMTRAMCK, MI 48212 ",5633,TROWBRIDGE,HAMTRAMCK,MI,48212,-83.045052,42.404563,26,163,510600,1,30.97,16131.0,24.0,28.38,17.25,20.0,37.22,20.42,20.89,30.0,25.0
"1268 DRAGOON DETROIT, MI 48209 ",1268,DRAGOON,DETROIT,MI,48209,-83.105187,42.311874,26,163,523200,3,30.97,,22.25,30.97,17.5,20.0,37.22,20.42,20.89,27.5,20.75
"12767 LORETTO DETROIT, MI 48205 ",12767,LORETTO,DETROIT,MI,48205,-82.984765,42.417776,26,163,503900,1,30.97,30792.0,22.5,29.93,17.5,20.0,37.22,20.42,20.89,30.0,25.0
"18717 SORRENTO DETROIT, MI 48235 ",18717,SORRENTO,DETROIT,MI,48235,-83.174466,42.429256,26,163,539400,1,30.45,50938.0,24.0,27.87,18.0,20.0,37.22,20.42,20.89,28.0,22.5
"15865 ASHTON DETROIT, MI 48219 ",15865,ASHTON,DETROIT,MI,48219,-83.220116,42.407458,26,163,543000,1,29.94,80563.0,23.0,28.38,18.0,20.0,37.22,20.42,20.89,30.0,22.75
"14804 MADDELEIN DETROIT, MI 48205 ",14804,MADDELEIN,DETROIT,MI,48205,-82.969575,42.435864,26,163,500300,1,35.1,39940.0,22.5,28.9,17.5,20.0,37.22,20.42,20.89,30.0,25.0
"13646 PIEDMONT DETROIT, MI 48223 ",13646,PIEDMONT,DETROIT,MI,48223,-83.229411,42.386153,26,163,543300,4,29.94,,22.5,28.9,17.75,20.0,37.22,20.42,20.89,30.0,22.75
"13200 JOY RD DETROIT, MI 48228 ",13200,JOY RD,DETROIT,MI,48228,-83.174111,42.358895,26,163,535000,2,27.87,53816.0,22.5,30.97,17.5,19.25,37.22,20.42,20.89,30.0,22.5
"8061 PLAINVIEW DETROIT, MI 48228 ",8061,PLAINVIEW,DETROIT,MI,48228,-83.234806,42.351326,26,163,546000,1,27.87,37381.0,22.5,26.84,17.5,19.25,37.22,20.42,20.89,30.0,22.5
"20486 HULL DETROIT, MI 48203 ",20486,HULL,DETROIT,MI,48203,-83.088924,42.446104,26,163,507500,1,30.45,16711.0,23.75,27.35,17.0,19.75,37.22,20.42,20.89,29.5,22.5
"24251 PEMBROKE DETROIT, MI 48219 ",24251,PEMBROKE,DETROIT,MI,48219,-83.28009,42.435822,26,163,541800,1,27.87,35262.0,23.0,28.9,18.0,20.0,37.22,20.42,20.89,30.0,22.75
"2477 BEALS DETROIT, MI 48214 ",2477,BEALS,DETROIT,MI,48214,-83.003303,42.361042,26,163,515200,1,30.97,20870.0,22.5,30.97,17.5,20.0,37.22,20.42,20.89,30.0,25.0
"20203 MOENART DETROIT, MI 48234 ",20203,MOENART,DETROIT,MI,48234,-83.050939,42.444422,26,163,506700,1,28.9,48125.0,24.0,28.38,17.5,20.5,37.22,20.42,20.89,30.0,27.5
"8371 ROLYAT DETROIT, MI 48234 ",8371,ROLYAT,DETROIT,MI,48234,-83.018168,42.439878,26,163,505100,3,28.9,48785.0,24.0,28.38,17.5,20.5,37.22,20.42,20.89,30.0,27.5
"12218 PLAINVIEW DETROIT, MI 48228 ",12218,PLAINVIEW,DETROIT,MI,48228,-83.234828,42.376731,26,163,547100,4,27.87,51250.0,22.5,28.9,17.5,19.25,37.22,20.42,20.89,30.0,22.5
"17822 BRUSH DETROIT, MI 48203 ",17822,BRUSH,DETROIT,MI,48203,-83.097323,42.423658,26,163,509000,4,30.97,,23.75,28.38,17.0,19.75,37.22,20.42,20.89,29.5,22.5
"15237 E STATE FAIR DETROIT, MI 48205 ",15237,E STATE FAIR,DETROIT,MI,48205,-82.964897,42.442882,26,163,500200,2,30.97,39318.0,22.5,27.87,17.5,20.0,37.22,20.42,20.89,30.0,25.0
"11803 GREINER DETROIT, MI 48205 ",11803,GREINER,DETROIT,MI,48205,-83.00291,42.427492,26,163,503500,1,30.97,41786.0,22.5,28.9,17.5,20.0,37.22,20.42,20.89,30.0,25.0
"19954 CHERRYLAWN DETROIT, MI 48221 ",19954,CHERRYLAWN,DETROIT,MI,48221,-83.155454,42.439464,26,163,539000,1,29.94,40694.0,23.0,27.35,17.5,20.0,37.22,20.42,20.89,28.0,22.5
"15428 COYLE DETROIT, MI 48227 ",15428,COYLE,DETROIT,MI,48227,-83.193595,42.403935,26,163,537500,1,29.94,32078.0,23.0,28.9,17.75,20.0,37.22,20.42,20.89,30.0,22.5
"19136 JOY RD DETROIT, MI 48228 ",19136,JOY RD,DETROIT,MI,48228,-83.228269,42.357969,26,163,546700,1,27.87,41500.0,22.5,28.9,17.5,19.25,37.22,20.42,20.89,30.0,22.5
"10452 BONITA DETROIT, MI 48224 ",10452,BONITA,DETROIT,MI,48224,-82.959671,42.413978,26,163,501100,4,35.1,31250.0,22.5,29.42,17.75,20.0,37.22,20.42,20.89,30.0,25.0
"11214 GLENFIELD DETROIT, MI 48213 ",11214,GLENFIELD,DETROIT,MI,48213,-82.997289,42.408895,26,163,505200,1,30.97,36071.0,22.75,29.93,17.5,20.0,37.22,20.42,20.89,30.0,27.5
"3489 ALGONQUIN DETROIT, MI 48215 ",3489,ALGONQUIN,DETROIT,MI,48215,-82.964562,42.382149,26,163,512800,2,36.13,10598.0,21.5,30.97,17.5,20.0,37.22,20.42,20.89,30.0,25.0
"9950 LAUDER DETROIT, MI 48227 ",9950,LAUDER,DETROIT,MI,48227,-83.189462,42.368818,26,163,535300,1,28.9,37466.0,23.0,29.93,17.75,20.0,37.22,20.42,20.89,30.0,22.5
"17337 PREVOST DETROIT, MI 48235 ",17337,PREVOST,DETROIT,MI,48235,-83.203987,42.418267,26,163,540400,1,30.45,52880.0,24.0,28.38,18.0,20.0,37.22,20.42,20.89,28.0,22.5
"9911 LAUDER DETROIT, MI 48227 ",9911,LAUDER,DETROIT,MI,48227,-83.190056,42.368253,26,163,535300,1,28.9,37466.0,23.0,29.93,17.75,20.0,37.22,20.42,20.89,30.0,22.5
"18559 ST AUBIN DETROIT, MI 48234 ",18559,ST AUBIN,DETROIT,MI,48234,-83.081775,42.429166,26,163,507100,1,30.97,,24.0,28.38,17.5,20.5,37.22,20.42,20.89,30.0,27.5
"19481 JAMES COUZENS DETROIT, MI 48235 ",19481,JAMES COUZENS,DETROIT,MI,48235,-83.192127,42.43522,26,163,539700,1,28.9,26204.0,24.0,27.35,18.0,20.0,37.22,20.42,20.89,28.0,22.5
"18606 BELAND DETROIT, MI 48205 ",18606,BELAND,DETROIT,MI,48205,-83.009097,42.430909,26,163,505600,2,30.97,32500.0,22.5,28.9,17.5,20.0,37.22,20.42,20.89,30.0,25.0
"22413 LYNDON DETROIT, MI 48223 ",22413,LYNDON,DETROIT,MI,48223,-83.261864,42.392801,26,163,544100,1,27.87,20417.0,22.5,30.97,17.75,20.0,37.22,20.42,20.89,30.0,22.75
"8092 WISCONSIN DETROIT, MI 48204 ",8092,WISCONSIN,DETROIT,MI,48204,-83.153744,42.353176,26,163,534700,1,28.9,30039.0,22.5,30.97,17.5,20.0,37.22,20.42,20.89,29.25,22.5
"2587 GRAY DETROIT, MI 48215 ",2587,GRAY,DETROIT,MI,48215,-82.959383,42.378145,26,163,512800,2,35.61,10598.0,21.5,30.97,17.5,20.0,37.22,20.42,20.89,30.0,25.0
"4875 MARSEILLES DETROIT, MI 48224 ",4875,MARSEILLES,DETROIT,MI,48224,-82.921098,42.408445,26,163,501700,2,33.03,30917.0,22.5,30.97,17.75,20.0,37.22,20.42,20.89,30.0,25.0
"4379 LUMLEY DETROIT, MI 48210 ",4379,LUMLEY,DETROIT,MI,48210,-83.13826,42.326746,26,163,526000,2,30.97,34027.0,22.0,28.9,17.5,20.0,37.22,20.42,20.89,30.0,21.0
"8116 GREENLAWN DETROIT, MI 48204 ",8116,GREENLAWN,DETROIT,MI,48204,-83.148428,42.353608,26,163,534800,2,29.94,33611.0,22.5,30.97,17.5,20.0,37.22,20.42,20.89,29.25,22.5
"14156 LAMPHERE DETROIT, MI 48223 ",14156,LAMPHERE,DETROIT,MI,48223,-83.26109,42.38909,26,163,544800,1,27.87,32880.0,22.5,32.51,17.75,20.0,37.22,20.42,20.89,30.0,22.75
"18924 BENTLER DETROIT, MI 48219 ",18924,BENTLER,DETROIT,MI,48219,-83.253017,42.426822,26,163,541200,2,29.94,19042.0,23.0,28.9,18.0,20.0,37.22,20.42,20.89,30.0,22.75
"15780 SCHAEFER DETROIT, MI 48227 ",15780,SCHAEFER,DETROIT,MI,48227,-83.178966,42.407102,26,163,537000,1,30.45,54375.0,23.0,28.9,17.75,20.0,37.22,20.42,20.89,30.0,22.5
"12831 FRANKFORT DETROIT, MI 48213 ",12831,FRANKFORT,DETROIT,MI,48213,-82.968113,42.393102,26,163,502600,6,35.1,,22.75,30.97,17.5,20.0,37.22,20.42,20.89,30.0,27.5
"15348 ILENE DETROIT, MI 48238 ",15348,ILENE,DETROIT,MI,48238,-83.161557,42.403276,26,163,536800,1,30.45,,23.0,28.9,17.5,20.0,37.22,20.42,20.89,29.25,22.5
"12039 WHITCOMB DETROIT, MI 48227 ",12039,WHITCOMB,DETROIT,MI,48227,-83.195757,42.375389,26,163,535300,2,28.9,27422.0,23.0,29.93,17.75,20.0,37.22,20.42,20.89,30.0,22.5
"19151 DEQUINDRE DETROIT, MI 48234 ",19151,DEQUINDRE,DETROIT,MI,48234,-83.083209,42.433718,26,163,507400,2,30.45,34875.0,24.0,28.38,17.5,20.5,37.22,20.42,20.89,30.0,27.5
"3426 LIVERNOIS DETROIT, MI 48210 ",3426,LIVERNOIS,DETROIT,MI,48210,-83.116642,42.326646,26,163,525900,2,30.97,27162.0,22.0,28.9,17.5,20.0,37.22,20.42,20.89,30.0,21.0
"18251 FITZPATRICK DETROIT, MI 48228 ",18251,FITZPATRICK,DETROIT,MI,48228,-83.218607,42.364604,26,163,546700,2,27.87,43214.0,22.5,28.9,17.5,19.25,37.22,20.42,20.89,30.0,22.5
"20183 GODDARD DETROIT, MI 48234 ",20183,GODDARD,DETROIT,MI,48234,-83.078,42.443768,26,163,506800,2,29.94,32212.0,24.0,27.87,17.5,20.5,37.22,20.42,20.89,30.0,27.5
"18461 FENMORE DETROIT, MI 48235 ",18461,FENMORE,DETROIT,MI,48235,-83.218319,42.425733,26,163,540300,1,30.45,54457.0,24.0,27.87,18.0,20.0,37.22,20.42,20.89,28.0,22.5
"14101 WINTHROP DETROIT, MI 48227 ",14101,WINTHROP,DETROIT,MI,48227,-83.199533,42.38946,26,163,542400,2,27.87,40568.0,23.0,29.93,17.75,20.0,37.22,20.42,20.89,30.0,22.5
"11174 CHARLEMAGNE DETROIT, MI 48213 ",11174,CHARLEMAGNE,DETROIT,MI,48213,-82.997203,42.408087,26,163,505200,1,30.97,36071.0,22.75,29.93,17.5,20.0,37.22,20.42,20.89,30.0,27.5
"638 LAWRENCE DETROIT, MI 48202 ",638,LAWRENCE,DETROIT,MI,48202,-83.091336,42.389863,26,163,532100,2,30.97,59688.0,23.0,28.38,17.25,20.0,37.22,20.42,20.89,29.5,25.0
"5936 HARDING DETROIT, MI 48213 ",5936,HARDING,DETROIT,MI,48213,-82.997664,42.393638,26,163,505700,5,30.97,35186.0,22.75,29.42,17.5,20.0,37.22,20.42,20.89,30.0,27.5
"9525 LITTLEFIELD DETROIT, MI 48228 ",9525,LITTLEFIELD,DETROIT,MI,48228,-83.175621,42.366324,26,163,535100,2,28.9,30662.0,22.5,29.93,17.5,19.25,37.22,20.42,20.89,30.0,22.5
"470 W LANTZ DETROIT, MI 48203 ",470,W LANTZ,DETROIT,MI,48203,-83.108802,42.437233,26,163,508000,1,29.94,12046.0,23.75,27.35,17.0,19.75,37.22,20.42,20.89,29.5,22.5
"10297 HINDLE DETROIT, MI 48211 ",10297,HINDLE,DETROIT,MI,48211,-83.073009,42.394275,26,163,511400,1,30.97,25750.0,23.5,28.38,17.5,20.0,37.22,20.42,20.89,30.0,24.0
"14252 APPOLINE DETROIT, MI 48227 ",14252,APPOLINE,DETROIT,MI,48227,-83.169727,42.392298,26,163,537200,1,30.45,22500.0,23.0,28.9,17.75,20.0,37.22,20.42,20.89,30.0,22.5
"15701 ROCKDALE DETROIT, MI 48223 ",15701,ROCKDALE,DETROIT,MI,48223,-83.258581,42.404014,26,163,544200,2,27.87,18676.0,22.5,29.93,17.75,20.0,37.22,20.42,20.89,30.0,22.75
"9241 LONGWORTH DETROIT, MI 48209 ",9241,LONGWORTH,DETROIT,MI,48209,-83.133986,42.301357,26,163,524300,3,29.42,38899.0,22.25,26.84,17.5,20.0,37.22,20.42,20.89,27.5,20.75
"16615 COLLINGHAM DETROIT, MI 48205 ",16615,COLLINGHAM,DETROIT,MI,48205,-82.948345,42.448683,26,163,500100,2,30.97,38583.0,22.5,27.87,17.5,20.0,37.22,20.42,20.89,30.0,25.0
"19167 HAWTHORNE DETROIT, MI 48203 ",19167,HAWTHORNE,DETROIT,MI,48203,-83.092929,42.433539,26,163,507400,2,29.94,34875.0,23.75,27.87,17.0,19.75,37.22,20.42,20.89,29.5,22.5
"19662 BLOOM DETROIT, MI 48234 ",19662,BLOOM,DETROIT,MI,48234,-83.049044,42.439254,26,163,506600,1,28.9,45639.0,24.0,28.38,17.5,20.5,37.22,20.42,20.89,30.0,27.5
"5760 NOTTINGHAM DETROIT, MI 48224 ",5760,NOTTINGHAM,DETROIT,MI,48224,-82.952341,42.404955,26,163,501300,1,35.1,39205.0,22.5,29.42,17.75,20.0,37.22,20.42,20.89,30.0,25.0
"8842 HARTWELL DETROIT, MI 48228 ",8842,HARTWELL,DETROIT,MI,48228,-83.175947,42.35932,26,163,535000,2,27.87,53816.0,22.5,30.97,17.5,19.25,37.22,20.42,20.89,30.0,22.5
"3011 BEALS DETROIT, MI 48214 ",3011,BEALS,DETROIT,MI,48214,-83.005258,42.363754,26,163,515200,2,30.97,17239.0,22.5,30.97,17.5,20.0,37.22,20.42,20.89,30.0,25.0
"20045 RENFREW DETROIT, MI 48221 ",20045,RENFREW,DETROIT,MI,48221,-83.135525,42.44107,26,163,538100,2,29.94,86429.0,23.0,26.84,17.5,20.0,37.22,20.42,20.89,28.0,22.5
"9536 ARTESIAN DETROIT, MI 48228 ",9536,ARTESIAN,DETROIT,MI,48228,-83.22598,42.365491,26,163,547100,3,27.87,35320.0,22.5,28.9,17.5,19.25,37.22,20.42,20.89,30.0,22.5
"8054 DARWIN DETROIT, MI 48234 ",8054,DARWIN,DETROIT,MI,48234,-83.022451,42.415273,26,163,505700,1,30.97,27000.0,24.0,28.38,17.5,20.5,37.22,20.42,20.89,30.0,27.5
"6310 GRANDMONT DETROIT, MI ",6310,GRANDMONT,DETROIT,MI,48228,-83.207941,42.336531,26,163,545600,1,30.97,27566.0,22.5,28.9,17.5,19.25,37.22,20.42,20.89,30.0,22.5
"12937 SPARLING DETROIT, MI 48212 ",12937,SPARLING,DETROIT,MI,48212,-83.045794,42.413781,26,163,511300,2,30.97,,24.0,28.38,17.25,20.0,37.22,20.42,20.89,30.0,25.0
"14732 METTETAL DETROIT, MI 48227 ",14732,METTETAL,DETROIT,MI,48227,-83.207265,42.396997,26,163,542300,1,27.87,15069.0,23.0,28.9,17.75,20.0,37.22,20.42,20.89,30.0,22.5
"1709 W GRAND BLVD DETROIT, MI 48210 ",1709,W GRAND BLVD,DETROIT,MI,48210,-83.111137,42.348806,26,163,527900,2,30.97,17335.0,22.0,28.9,17.5,20.0,37.22,20.42,20.89,30.0,21.0
"3529 25TH ST DETROIT, MI 48208 ",3529,25TH ST,DETROIT,MI,48208,-83.095751,42.335031,26,163,522800,1,30.97,34519.0,22.5,28.9,17.5,20.0,37.22,20.42,20.89,30.0,23.0
"11120 KENMOOR DETROIT, MI 48205 ",11120,KENMOOR,DETROIT,MI,48205,-83.007659,42.416395,26,163,505200,2,30.97,34298.0,22.5,28.9,17.5,20.0,37.22,20.42,20.89,30.0,25.0
"120 SEWARD 43/405 DETROIT, MI 48202 ",120,SEWARD 43/405,DETROIT,MI,48202,-83.078883,42.374512,26,163,533900,1,30.97,32647.0,23.0,28.9,17.25,20.0,37.22,20.42,20.89,29.5,25.0
"3038 CLAIRMOUNT DETROIT, MI 48206 ",3038,CLAIRMOUNT,DETROIT,MI,48206,-83.113662,42.371062,26,163,533200,2,30.97,20500.0,23.0,29.93,17.5,20.0,37.22,20.42,20.89,30.0,21.75
"2235 CRANE DETROIT, MI 48214 ",2235,CRANE,DETROIT,MI,48214,-82.993126,42.36282,26,163,513800,2,33.03,34221.0,22.5,30.97,17.5,20.0,37.22,20.42,20.89,30.0,25.0
"14591 CRUSE DETROIT, MI 48227 ",14591,CRUSE,DETROIT,MI,48227,-83.183468,42.396023,26,163,537100,2,29.94,24783.0,23.0,28.9,17.75,20.0,37.22,20.42,20.89,30.0,22.5
"12087 FORRER DETROIT, MI 48227 ",12087,FORRER,DETROIT,MI,48227,-83.201647,42.375951,26,163,545100,2,28.9,,23.0,29.93,17.75,20.0,37.22,20.42,20.89,30.0,22.5
"18199 HULL DETROIT, MI 48203 ",18199,HULL,DETROIT,MI,48203,-83.089128,42.427853,26,163,507300,1,30.97,48045.0,23.75,28.38,17.0,19.75,37.22,20.42,20.89,29.5,22.5
"9304 CHALMERS DETROIT, MI 48213 ",9304,CHALMERS,DETROIT,MI,48213,-82.966002,42.407466,26,163,504100,1,35.1,,22.75,29.42,17.5,20.0,37.22,20.42,20.89,30.0,27.5
"14040 GREENFIELD DETROIT, MI 48227 ",14040,GREENFIELD,DETROIT,MI,48227,-83.197164,42.389126,26,163,537300,1,27.87,50966.0,23.0,29.93,17.75,20.0,37.22,20.42,20.89,30.0,22.5
"14541 RUTLAND DETROIT, MI 48227 ",14541,RUTLAND,DETROIT,MI,48227,-83.21392,42.394633,26,163,542500,2,27.87,45000.0,23.0,28.9,17.75,20.0,37.22,20.42,20.89,30.0,22.5
"3542 DICKERSON DETROIT, MI 48215 ",3542,DICKERSON,DETROIT,MI,48215,-82.961224,42.384166,26,163,512800,2,35.61,10598.0,21.5,30.97,17.5,20.0,37.22,20.42,20.89,30.0,25.0
"15000 MANNING DETROIT, MI 48205 ",15000,MANNING,DETROIT,MI,48205,-82.966831,42.44072,26,163,500300,1,33.03,39940.0,22.5,28.38,17.5,20.0,37.22,20.42,20.89,30.0,25.0
"8411 SIEBERT DETROIT, MI 48234 ",8411,SIEBERT,DETROIT,MI,48234,-83.017094,42.40582,26,163,505700,1,30.97,27000.0,24.0,28.9,17.5,20.5,37.22,20.42,20.89,30.0,27.5
"14336 DACOSTA DETROIT, MI 48223 ",14336,DACOSTA,DETROIT,MI,48223,-83.259872,42.391212,26,163,544800,1,27.87,32880.0,22.5,30.97,17.75,20.0,37.22,20.42,20.89,30.0,22.75
"9222 KENSINGTON DETROIT, MI 48224 ",9222,KENSINGTON,DETROIT,MI,48224,-82.9438,42.415067,26,163,501000,1,35.1,24590.0,22.5,29.42,17.75,20.0,37.22,20.42,20.89,30.0,25.0
"3061 COPLIN DETROIT, MI 48215 ",3061,COPLIN,DETROIT,MI,48215,-82.957569,42.383025,26,163,512800,2,35.61,10598.0,21.5,30.97,17.5,20.0,37.22,20.42,20.89,30.0,25.0
"3456 CADILLAC DETROIT, MI 48214 ",3456,CADILLAC,DETROIT,MI,48214,-82.989475,42.372294,26,163,513900,1,35.1,39205.0,22.5,30.97,17.5,20.0,37.22,20.42,20.89,30.0,25.0
"18262 STAHELIN DETROIT, MI 48219 ",18262,STAHELIN,DETROIT,MI,48219,-83.226982,42.423611,26,163,540500,2,30.97,,23.0,28.38,18.0,20.0,37.22,20.42,20.89,30.0,22.75
"15335 INDIANA DETROIT, MI 48238 ",15335,INDIANA,DETROIT,MI,48238,-83.15784,42.403123,26,163,536300,2,30.45,38787.0,23.0,28.9,17.5,20.0,37.22,20.42,20.89,29.25,22.5
"8801 MONICA DETROIT, MI 48204 ",8801,MONICA,DETROIT,MI,48204,-83.140936,42.359427,26,163,534800,3,29.94,16017.0,22.5,30.97,17.5,20.0,37.22,20.42,20.89,29.25,22.5
